芸人名,アーティスト名,楽曲名
"Dr,ハインリッヒ",THE YELLOW MONKEY,サイキックNO9
8.6秒バズーカー,PLUS TECH SQUEEZE BOX,Sneaker Song!
COWCOW,Danger Danger,Crazy Nites
EXIT,Showtek ft. We Are Loud & Sonny Wilson,Booyah
GAG,The Coral,Dreaming Of You
Kento fukaya,Bill Haley&His Comets,Rock Around THE Clock
アイロンヘッド,ポール・マッカートニー,All Shook Up
アインシュタイン,lokofrank,start
アキナ,ET-KING,纏
アキレスと亀,ゲスの極み乙女,キラーボール
アジアン,渚ようこ,木遣りくずし
アレグレット,ウルフルズ,どうでもよすぎ
いなかのくるま,関ジャニ∞,無責任ヒーロー
イブンカ,馬渡松子,微笑みの爆弾
インディアンス,POLYSICS,Let’s ダバダバ
えんぴつ消ゴム,Perfume,だいじょばない
エンペラー,町あかり,もぐらたたきのような人
おいでやす小田,アンジー,天井裏から愛をこめて
オズワルド,嵐,Monster
おとんどぅ,KICK THE CAN CREW,地球ブルース337
オリエンタルラジオ,ELLEGARDEN,Monster
カキツバタ,SURFACE,それじゃあバイバイ
カバと爆ノ介,The Rolling Stones,Flip The Switch
かまいたち,RADWIMPS,イーディーピー ～飛んで火に入る夏の君～
カミナリ,ギターウルフ,カミナリワン
からし蓮根,MICKY RICH & ポチョムキン,おてもやんサンバ feat.水前寺清子
きみどり,Swing Girl & Boy,Sing Sing Sing
キングコング,忘れらんねえよ,CからはじまるABC
くのいち,ManaKana,じゃがバタコーンさん
クラスメイト,Mariah Carey,All Want For Chritmas Is You
クロスバー直撃,ウルフルズ,すっとばす
コウテイ,Chiranjeevi & Radha,Idhi Oka Nandanavanam
コーンスターチ,怒髪天,ビール・オア・ダイ
コマンダンテ,斎藤和義,空に星が綺麗
コロコロチキチキペッパーズ,JUDY AND MARY,Hollo!  Orange Sunshine
サーフィンズ,フジファブリック,Surfer King
サカモト's,奥田民生,股旅（ジョンと）
さや香,山本彩（AKB48）,愛と悲しみの時差
サンディエゴ,Nas & Damian Marley,as we enter
サンドロップ,怒髪天,キタカラキタオトコ
シゲカズです,やくしまるえつこオーケストラ,ノニエル
ジソンシン,CAROL,ファンキーモンキーベイビー
シチガツ,神聖かまってちゃん,美ちなる方へ
ジャパンブランド,サンボマスター,できっこないをやらなくちゃ
ジャムファミリア,ザ・サイクロンズ,バンドワゴンに揺られながら
ジャルジャル,チューリップ,ぼくがつくった愛のうた
シャンプーハット,Blankey Jet City,ロメオ
シュークリーマーズ,The Beatles,Twist&Shout
ジュリエッタ,初音ミク & GUMI,脳奬炸裂ガール
ジョニーレオポン,安全地帯,ワインレッドの心
シンクロック,Brian Setzer,Everybody's Up To Something
スーパーマラドーナ,マキシマムザホルモン,恋のメガラバ
セルライトスパ,Metallica,Master Of Puppets
ダークニンゲン,SUPER☆GiRLS,プリプリSUMMERキッス
ダイアン,10-FEET,Fellows2
タナからイケダ,3.6MILK,MY SWEET HOME
ダブルアート,JAPAN-狂撃-SPECIAL,なめんな音頭
ダブルヒガシ,SHUN,LOOK∧ME
チャモロ,ザ・ハイロウズ,真夜中レーザーガン
チュートリアル,POLYSICS,IT’S UP TO YOU
ツートライブ,HARDNOX,fire like this」
テコンドー近藤,マキシマムザホルモン,ロック番狂わせ
てんしとあくま,雅,suvive
トータルテンボス,マキシマムザホルモン,渚のシンドバット
トット,ASIAN KUNG-FU GENERATION,N.G.S
ニメートルズ,ザ・クロマニヨンズ,南南西に進路をとれ
ニューヨーク,the Strokes,New York City Cops
ネイビーズアフロ,コブクロ,Pink Prisoner
ねぐらもぐら,東京スカパラダイスオーケストラ,カナリア鳴く空
ノーザンダンサー,放課後ティータイム,運命はエンドレス
パーフェクトダブルシュレッダー,SABOTEN,写楽
ハブシセン,男兒當自強,映画「ワンス･アポン･ア･タイム･イン･チャイナ天地大乱」主題歌
パンサー,RADWIMPS,トレモロ
バンビーノ,布袋寅泰,バンビーナ
ピース,真心ブラザーズ,サティスファクション
ビーフケーキ,小島麻由美,ハートに日をつけて
ヒガシ逢ウサカ,真心ブラザーズ,うきうき
ビスケットブラザーズ,AQUA,Cartoon Heroes
ヒューマン中村,黒夢,少年
ファイナル兄弟,吉田兄弟,rising
ブラックマヨネーズ,"Earth, Wind & Fire",Boogie Wonderland
フラワーズオブロマンス,大塚愛,さくらんぼ
プリマ旦那,The Birthday,CAT NEVER EAT BEEF
ヘッドライト,ニューロティカ,太陽族
へべれけ,GIRL NEXT DOOR,Infinity
ヘンダーソン,SMAP,オリジナルスマイル
ポートワシントン,フィンガー５,恋のアメリカンフットボール
マザー周,X Japan,Sadistic Desire
マッスルブラザーズ,串田アキラ,キン肉マンGo Fight！
マユリカ,L'luvia,スキスキ マイガール
マルセイユ,Zebrahead,Mental Health
ミキ,荒井由実,ルージュの伝言
ミサイルマン,↑THE HIGH-LOWS↓,ミサイルマン
ミルクボーイ,Linda&the Big King JiveDaddies,Come on-A MY HOUSE
むしゃむしゃ,SEBASTIAN X,GO BACK TO MONSTER
ムニムニヤエバ,Yum! Yum! ORANGE,Morning
モンスーン,サンボマスター,ミラクルをキミとおこしたいんです
ヤタガラス,沢田研二,勝手にしやがれ
ゆりやんレトリィバァ,HAIRSPRAY,You Can't Stop the Beat
